,0,1
0,test_69.dat,802
1,test_31.dat,60
2,test_185.dat,24
3,test_105.dat,802
4,test_70.dat,20
5,test_131.dat,802
6,test_90.dat,802
7,test_111.dat,801
8,test_5.dat,180
9,test_29.dat,802
10,test_165.dat,802
11,test_128.dat,802
12,test_199.dat,2520
13,test_32.dat,30
14,test_55.dat,60
15,test_50.dat,420
16,test_6.dat,120
17,test_175.dat,802
18,test_150.dat,802
19,test_148.dat,801
20,test_79.dat,180
21,test_173.dat,802
22,test_153.dat,1120
23,test_18.dat,105
24,test_194.dat,60
25,test_24.dat,802
26,test_166.dat,3360
27,test_176.dat,60
28,test_168.dat,802
29,test_89.dat,360
30,test_130.dat,24
31,test_60.dat,802
32,test_52.dat,802
33,test_169.dat,60
34,test_99.dat,802
35,test_136.dat,802
36,test_180.dat,120
37,test_151.dat,24
38,test_45.dat,6720
39,test_35.dat,180
40,test_122.dat,802
41,test_22.dat,4
42,test_25.dat,420
43,test_100.dat,210
44,test_109.dat,20
45,test_66.dat,24
46,test_143.dat,3360
47,test_119.dat,802
48,test_84.dat,24
49,test_125.dat,60
50,test_87.dat,20
51,test_15.dat,420
52,test_140.dat,105
53,test_21.dat,802
54,test_11.dat,120
55,test_196.dat,180
56,test_157.dat,420
57,test_158.dat,802
58,test_77.dat,4
59,test_27.dat,24
60,test_190.dat,802
61,test_68.dat,802
62,test_142.dat,30
63,test_85.dat,802
64,test_56.dat,180
65,test_58.dat,180
66,test_16.dat,3360
67,test_4.dat,802
68,test_124.dat,802
69,test_78.dat,802
70,test_71.dat,2520
71,test_115.dat,60
72,test_74.dat,802
73,test_110.dat,60
74,test_91.dat,3
75,test_93.dat,3360
76,test_132.dat,24
77,test_42.dat,802
78,test_198.dat,3
79,test_182.dat,3360
80,test_144.dat,30
81,test_107.dat,30
82,test_149.dat,20
83,test_184.dat,12
84,test_83.dat,60
85,test_162.dat,60
86,test_2.dat,802
87,test_8.dat,30
88,test_174.dat,30
89,test_112.dat,60
90,test_172.dat,6
91,test_197.dat,802
92,test_126.dat,802
93,test_178.dat,802
94,test_65.dat,1120
95,test_44.dat,802
96,test_43.dat,1680
97,test_81.dat,1680
98,test_88.dat,802
99,test_76.dat,802
100,test_106.dat,1680
101,test_117.dat,420
102,test_146.dat,802
103,test_33.dat,12
104,test_183.dat,120
105,test_47.dat,420
106,test_37.dat,802
107,test_192.dat,802
108,test_51.dat,6
109,test_171.dat,802
110,test_101.dat,20
111,test_41.dat,802
112,test_179.dat,3360
113,test_86.dat,802
114,test_141.dat,60
115,test_163.dat,12
116,test_193.dat,802
117,test_167.dat,801
118,test_57.dat,802
119,test_113.dat,802
120,test_30.dat,3
121,test_26.dat,802
122,test_72.dat,1260
123,test_19.dat,2
124,test_3.dat,3360
125,test_10.dat,3
126,test_9.dat,60
127,test_92.dat,12
128,test_104.dat,802
129,test_133.dat,420
130,test_12.dat,3360
131,test_48.dat,802
132,test_54.dat,802
133,test_181.dat,105
134,test_1.dat,30
135,test_156.dat,802
136,test_121.dat,802
137,test_62.dat,360
138,test_102.dat,12
139,test_170.dat,1680
140,test_95.dat,802
141,test_134.dat,24
142,test_7.dat,802
143,test_36.dat,802
144,test_49.dat,180
145,test_39.dat,12
146,test_20.dat,60
147,test_188.dat,802
148,test_145.dat,802
149,test_116.dat,802
150,test_120.dat,180
151,test_63.dat,5
152,test_82.dat,802
153,test_80.dat,840
154,test_59.dat,802
155,test_17.dat,120
156,test_147.dat,802
157,test_187.dat,420
158,test_161.dat,802
159,test_191.dat,3360
160,test_127.dat,1260
161,test_114.dat,336
162,test_75.dat,802
163,test_64.dat,802
164,test_189.dat,802
165,test_118.dat,802
166,test_177.dat,5
167,test_139.dat,6
168,test_14.dat,180
169,test_40.dat,802
170,test_98.dat,802
171,test_195.dat,802
172,test_154.dat,802
173,test_61.dat,24
174,test_159.dat,1680
175,test_97.dat,360
176,test_155.dat,60
177,test_34.dat,802
178,test_94.dat,802
179,test_164.dat,420
180,test_135.dat,336
181,test_28.dat,802
182,test_67.dat,6
183,test_108.dat,20
184,test_38.dat,24
185,test_73.dat,120
186,test_152.dat,802
187,test_138.dat,802
188,test_137.dat,120
189,test_96.dat,24
190,test_160.dat,180
191,test_23.dat,280
192,test_13.dat,5
193,test_53.dat,802
194,test_46.dat,140
195,test_186.dat,24
196,test_0.dat,802
197,test_123.dat,802
198,test_129.dat,802
199,test_103.dat,3360
